repo,stars,new-stars-last-30d,new-stars-last-14d,new-stars-last-7d,new-stars-last-24H,stars-per-mille-30d,days-last-star,days-last-commit,days-since-creation,mentionable-users,language,archived,dependencies,main-category,sub-category,liveness,unique-contributors
proycon/colibri-core,122,0,0,0,0,0.000,186,7,3715,5,C++,false,0,C++,Natural Language Processing,20.000,1
LanguageMachines/frog,73,1,1,1,0,13.699,5,9,3458,21,C++,false,0,C++,Natural Language Processing,30.000,1
LanguageMachines/libfolia,14,0,0,0,0,0.000,770,10,3894,19,C++,false,0,C++,Natural Language Processing,20.000,1
meta-toolkit/meta,677,2,1,0,0,2.954,7,2286,3580,9,C++,false,0,C++,Natural Language Processing,7.000,0
mit-nlp/MITIE,2879,6,0,0,0,2.084,16,448,3522,24,C++,false,0,C++,Natural Language Processing,4.000,0
LanguageMachines/ucto,60,0,0,0,0,0.000,213,9,3894,21,C++,false,0,C++,Natural Language Processing,20.000,1
kaldi-asr/kaldi,13289,103,44,30,0,7.751,1,10,3139,419,Shell,false,0,C++,Speech Recognition,60.000,7
ayoshiaki/tops,34,0,0,0,0,0.000,212,43,3418,7,HTML,false,0,C++,Sequence Analysis,6.000,0
nickgillian/grt,835,7,2,1,0,8.383,5,1632,3611,18,C++,false,0,C++,Gesture Detection,12.000,0
masatoi/cl-online-learning,47,0,0,0,0,0.000,35,613,3103,2,Common Lisp,false,0,Common Lisp,General-Purpose Machine Learning,0.000,0
masatoi/cl-random-forest,58,0,0,0,0,0.000,87,484,2465,3,Common Lisp,false,0,Common Lisp,General-Purpose Machine Learning,0.000,0
dakrone/clojure-opennlp,744,1,1,1,0,1.344,2,1899,5027,18,Clojure,false,0,Clojure,Natural Language Processing,10.000,0
r0man/inflections-clj,208,1,0,0,0,4.808,24,525,5034,9,Clojure,false,0,Clojure,Natural Language Processing,2.000,0
scicloj/scicloj.ml,187,1,1,0,0,5.348,11,66,980,19,Clojure,false,0,Clojure,General-Purpose Machine Learning,5.000,0
ptaoussanis/touchstone,135,0,0,0,0,0.000,179,58,4040,2,Clojure,false,0,Clojure,General-Purpose Machine Learning,6.000,0
lspector/Clojush,326,0,0,0,0,0.000,78,201,4967,19,Clojure,false,0,Clojure,General-Purpose Machine Learning,0.000,0
cloudkj/lambda-ml,76,0,0,0,0,0.000,94,1846,3030,1,Clojure,false,0,Clojure,General-Purpose Machine Learning,0.000,0
aria42/infer,176,0,0,0,0,0.000,821,4834,4843,4,Clojure,false,0,Clojure,General-Purpose Machine Learning,0.000,0
jimpil/enclog,136,0,0,0,0,0.000,304,2759,4097,1,Clojure,false,0,Clojure,General-Purpose Machine Learning,0.000,0
vollmerm/fungp,100,0,0,0,0,0.000,949,3475,4195,1,Clojure,false,0,Clojure,General-Purpose Machine Learning,0.000,0
clojurewerkz/statistiker,63,0,0,0,0,0.000,553,3062,3537,5,Clojure,false,0,Clojure,General-Purpose Machine Learning,0.000,0
htm-community/clortex,181,0,0,0,0,0.000,316,3183,3598,9,Clojure,false,0,Clojure,General-Purpose Machine Learning,0.000,0
htm-community/comportex,153,0,0,0,0,0.000,44,2617,3526,11,Clojure,false,0,Clojure,General-Purpose Machine Learning,0.000,0
uncomplicate/deep-diamond,405,0,0,0,0,0.000,35,0,1726,1,Clojure,false,0,Clojure,Deep Learning,50.000,1
hswick/jutsu.ai,98,0,0,0,0,0.000,157,1994,2296,4,Clojure,false,0,Clojure,Deep Learning,0.000,0
originrose/cortex,1269,0,0,0,0,0.000,62,2151,2613,25,Clojure,false,0,Clojure,Deep Learning,0.000,0
aria42/flare,284,0,0,0,0,0.000,48,1609,2279,2,Clojure,false,0,Clojure,Deep Learning,0.000,0
