repo,stars,new-stars-last-30d,new-stars-last-14d,new-stars-last-7d,new-stars-last-24H,stars-per-mille-30d,days-last-star,days-last-commit,days-since-creation,mentionable-users,language,archived,dependencies,main-category,sub-category,liveness,unique-contributors
jcoglan/sylvester,1139,1,1,0,0,0.878,13,3104,5619,2,JavaScript,false,2,JavaScript,Misc,5.000,0
simple-statistics/simple-statistics,3282,9,6,3,1,2.742,0,135,4306,48,JavaScript,false,13,JavaScript,Misc,27.000,0
Tom-Alexander/regression-js,918,3,3,1,0,3.268,1,2174,3974,11,JavaScript,false,12,JavaScript,Misc,12.000,0
flurry/Lyric,43,0,0,0,0,0.000,1066,3710,4214,21,JavaScript,true,0,JavaScript,Misc,0.000,0
mwgg/GreatCircle,77,0,0,0,0,0.000,36,613,3290,5,PHP,false,0,JavaScript,Misc,0.000,0
jgreenemi/MLPleaseHelp,5,0,0,0,0,0.000,1309,1765,2124,4,JavaScript,false,0,JavaScript,Misc,0.000,0
alibaba/pipcook,2477,10,6,2,0,4.037,4,85,1449,42,TypeScript,false,0,JavaScript,Misc,17.000,0
sta-ger/TheBot,5,0,0,0,0,0.000,1022,1968,1976,1,JavaScript,false,4,JavaScript,Demos and Scripts,0.000,0
sta-ger/HalfBeer,7,0,0,0,0,0.000,282,1976,1976,1,JavaScript,false,4,JavaScript,Demos and Scripts,0.000,0
benhamner/MachineLearning.jl,116,0,0,0,0,0.000,30,2993,3686,3,Julia,false,0,Julia,General-Purpose Machine Learning,0.000,0
JuliaStats/MLBase.jl,185,1,0,0,0,5.405,26,98,3938,34,Julia,false,0,Julia,General-Purpose Machine Learning,2.000,0
JuliaStats/PGM.jl,52,0,0,0,0,0.000,35,2271,3535,21,Julia,false,0,Julia,General-Purpose Machine Learning,0.000,0
trthatcher/DiscriminantAnalysis.jl,9,0,0,0,0,0.000,685,1047,3698,3,Julia,false,0,Julia,General-Purpose Machine Learning,0.000,0
lindahua/Regression.jl,62,0,0,0,0,0.000,130,2950,3794,5,Julia,false,0,Julia,General-Purpose Machine Learning,0.000,0
JuliaStats/Loess.jl,93,1,1,0,0,10.753,9,70,3722,44,Julia,false,0,Julia,General-Purpose Machine Learning,5.000,0
nutsiepully/NaiveBayes.jl,8,0,0,0,0,0.000,1469,3824,3824,1,Julia,false,0,Julia,General-Purpose Machine Learning,0.000,0
dmbates/MixedModels.jl,383,2,2,0,0,5.222,8,20,3890,35,Julia,false,0,Julia,General-Purpose Machine Learning,17.000,1
fredo-dedup/SimpleMCMC.jl,12,0,0,0,0,0.000,1486,3797,4019,1,Julia,true,0,Julia,General-Purpose Machine Learning,0.000,0
JuliaStats/Distances.jl,400,2,1,0,0,5.000,13,48,3376,51,Julia,false,0,Julia,General-Purpose Machine Learning,13.000,0
bensadeghi/DecisionTree.jl,7,0,0,0,0,0.000,318,567,570,1,Julia,false,0,Julia,General-Purpose Machine Learning,0.000,0
compressed/BackpropNeuralNet.jl,47,0,0,0,0,0.000,458,2375,4070,6,Julia,false,0,Julia,General-Purpose Machine Learning,0.000,0
doobwa/MCMC.jl,35,0,0,0,0,0.000,410,3872,4176,3,Julia,false,0,Julia,General-Purpose Machine Learning,0.000,0
brian-j-smith/Mamba.jl,255,0,0,0,0,0.000,75,1184,3448,12,Julia,false,0,Julia,General-Purpose Machine Learning,0.000,0
JuliaStats/GLM.jl,556,0,0,0,0,0.000,36,70,4194,59,Julia,false,0,Julia,General-Purpose Machine Learning,0.000,0
STOR-i/GaussianProcesses.jl,302,2,1,1,1,6.623,0,262,3129,26,Jupyter Notebook,false,0,Julia,General-Purpose Machine Learning,22.000,0
simonster/GLMNet.jl,95,0,0,0,0,0.000,35,170,3656,28,Julia,false,0,Julia,General-Purpose Machine Learning,0.000,0
JuliaStats/Clustering.jl,328,3,0,0,0,9.146,20,46,4016,59,Julia,false,0,Julia,General-Purpose Machine Learning,10.000,0
JuliaStats/SVM.jl,41,0,0,0,0,0.000,35,2676,3963,24,Julia,true,0,Julia,General-Purpose Machine Learning,0.000,0
JuliaStats/KernelDensity.jl,160,1,0,0,0,6.250,17,205,3511,38,Julia,false,0,Julia,General-Purpose Machine Learning,2.000,0
JuliaStats/MultivariateStats.jl,358,4,1,1,0,11.173,2,205,3542,46,Julia,false,0,Julia,General-Purpose Machine Learning,12.000,0
JuliaStats/NMF.jl,89,0,0,0,0,0.000,36,93,3575,28,Julia,false,0,Julia,General-Purpose Machine Learning,0.000,0
EricChiang/ANN.jl,57,0,0,0,0,0.000,1582,3251,3504,2,Julia,true,0,Julia,General-Purpose Machine Learning,0.000,0
pluskid/Mocha.jl,1287,4,3,1,0,3.108,4,1813,3316,42,Julia,false,0,Julia,General-Purpose Machine Learning,12.000,0
dmlc/XGBoost.jl,274,1,0,0,0,3.650,28,1,3388,47,Julia,false,0,Julia,General-Purpose Machine Learning,42.000,4
wildart/ManifoldLearning.jl,88,1,0,0,0,11.364,21,627,3414,6,Julia,false,0,Julia,General-Purpose Machine Learning,2.000,0
apache/incubator-mxnet,20643,57,23,4,1,2.761,0,300,3129,893,C++,true,0,Julia,General-Purpose Machine Learning,10.000,0
hshindo/Merlin.jl,144,0,0,0,0,0.000,559,1847,2920,3,Julia,false,0,Julia,General-Purpose Machine Learning,0.000,0
davidavdav/ROCAnalysis.jl,30,0,0,0,0,0.000,172,69,3542,6,Jupyter Notebook,false,0,Julia,General-Purpose Machine Learning,0.000,0
davidavdav/GaussianMixtures.jl,91,2,0,0,0,21.978,20,85,3641,22,Julia,false,0,Julia,General-Purpose Machine Learning,4.000,0
cstjean/ScikitLearn.jl,533,5,2,0,0,9.381,10,154,2825,15,Julia,false,0,Julia,General-Purpose Machine Learning,7.000,0
denizyuret/Knet.jl,1416,4,4,4,0,2.825,1,624,2976,44,Jupyter Notebook,false,0,Julia,General-Purpose Machine Learning,12.000,0
alan-turing-institute/MLJ.jl,1668,10,6,2,2,5.995,0,2,1940,76,Julia,false,0,Julia,General-Purpose Machine Learning,67.000,2
slycoder/TopicModels.jl,37,1,1,1,0,27.027,1,1271,3903,4,Julia,false,0,Julia,Natural Language Processing,10.000,0
JuliaText/TextAnalysis.jl,360,2,1,0,0,5.556,7,25,4213,43,Julia,false,0,Julia,Natural Language Processing,17.000,4
JuliaText/WordTokenizers.jl,92,0,0,0,0,0.000,41,1040,2053,17,Julia,false,0,Julia,Natural Language Processing,0.000,0
JuliaText/CorpusLoaders.jl,32,0,0,0,0,0.000,232,432,2645,14,Julia,false,0,Julia,Natural Language Processing,0.000,0
JuliaText/Embeddings.jl,78,2,1,0,0,25.641,12,37,1996,11,Julia,false,0,Julia,Natural Language Processing,13.000,0
JuliaText/Languages.jl,51,1,0,0,0,19.608,24,7,3989,27,Julia,false,0,Julia,Natural Language Processing,22.000,2
JuliaText/WordNet.jl,33,1,1,0,0,30.303,9,190,2984,13,Julia,false,0,Julia,Natural Language Processing,5.000,0
IainNZ/GraphLayout.jl,46,0,0,0,0,0.000,741,1277,3430,5,Julia,true,0,Julia,Data Analysis / Data Visualization,0.000,0
JuliaGraphs/LightGraphs.jl,672,0,0,0,0,0.000,174,776,3234,98,Julia,true,0,Julia,Data Analysis / Data Visualization,0.000,0
JuliaData/DataFramesMeta.jl,452,3,3,3,0,6.637,3,8,3578,46,Julia,false,0,Julia,Data Analysis / Data Visualization,32.000,2
nfoti/JuliaData,6,0,0,0,0,0.000,1627,3734,4107,1,Julia,false,0,Julia,Data Analysis / Data Visualization,0.000,0
queryverse/ReadStat.jl,74,0,0,0,0,0.000,69,196,3643,12,Julia,false,0,Julia,Data Analysis / Data Visualization,0.000,0
JuliaStats/HypothesisTests.jl,284,2,2,1,0,7.042,1,117,4001,54,Julia,false,0,Julia,Data Analysis / Data Visualization,12.000,0
GiovineItalia/Gadfly.jl,1876,5,5,4,0,2.665,3,152,4126,107,Julia,false,0,Julia,Data Analysis / Data Visualization,12.000,0
JuliaStats/StatsKit.jl,134,0,0,0,0,0.000,35,402,3595,22,Julia,false,0,Julia,Data Analysis / Data Visualization,0.000,0
johnmyleswhite/RDatasets.jl,157,1,1,1,0,6.369,1,661,4016,44,R,false,0,Julia,Data Analysis / Data Visualization,10.000,0
JuliaData/DataFrames.jl,1644,10,7,6,0,6.083,1,10,4152,207,Julia,false,0,Julia,Data Analysis / Data Visualization,37.000,1
JuliaStats/Distributions.jl,1030,4,2,1,0,3.883,4,20,4031,221,Julia,false,0,Julia,Data Analysis / Data Visualization,22.000,2
JuliaStats/DataArrays.jl,53,0,0,0,0,0.000,35,1914,3713,52,Julia,true,0,Julia,Data Analysis / Data Visualization,0.000,0
JuliaStats/TimeSeries.jl,330,4,3,3,0,12.121,3,1,3988,56,Julia,false,0,Julia,Data Analysis / Data Visualization,52.000,3
lindahua/Sampling.jl,1,0,0,0,0,0.000,1627,3444,3445,1,Julia,false,0,Julia,Data Analysis / Data Visualization,0.000,0
JuliaDSP/DSP.jl,344,4,1,0,0,11.628,13,70,3647,73,Julia,false,0,Julia,Misc Stuff / Presentations,7.000,0
JuliaCon/presentations,69,0,0,0,0,0.000,921,2817,3444,32,Jupyter Notebook,false,0,Julia,Misc Stuff / Presentations,0.000,0
JuliaDSP/DSP.jl,344,4,1,0,0,11.628,13,70,3647,73,Julia,false,0,Julia,Misc Stuff / Presentations,7.000,0
JuliaImages/Images.jl,511,2,0,0,0,3.914,16,113,4005,84,Julia,false,0,Julia,Misc Stuff / Presentations,4.000,0
oxinabox/DataDeps.jl,143,0,0,0,0,0.000,43,160,2227,29,Julia,false,0,Julia,Misc Stuff / Presentations,0.000,0
JetBrains/KotlinDL,1331,14,7,3,2,10.518,0,48,1338,72,Kotlin,false,0,Kotlin,Deep Learning,37.000,0
deepmind/torch-cephes,46,0,0,0,0,0.000,261,2814,3691,20,C,true,0,Lua,General-Purpose Machine Learning,0.000,0
twitter/torch-autograd,550,2,2,0,0,3.636,8,763,2970,29,Lua,true,0,Lua,General-Purpose Machine Learning,0.000,0
torch/graph,35,0,0,0,0,0.000,424,2558,4014,16,Lua,false,0,Lua,General-Purpose Machine Learning,0.000,0
deepmind/torch-randomkit,34,0,0,0,0,0.000,841,1675,3681,23,Lua,false,0,Lua,General-Purpose Machine Learning,0.000,0
soumith/torch-signal,46,0,0,0,0,0.000,292,2335,3652,9,Lua,false,0,Lua,General-Purpose Machine Learning,0.000,0
torch/nn,1318,1,1,1,1,0.759,0,2243,3688,184,Lua,false,0,Lua,General-Purpose Machine Learning,20.000,0
torchnet/torchnet,994,0,0,0,0,0.000,107,2115,2712,15,Lua,true,0,Lua,General-Purpose Machine Learning,0.000,0
torch/nngraph,296,0,0,0,0,0.000,301,2480,3887,30,Lua,false,0,Lua,General-Purpose Machine Learning,0.000,0
clementfarabet/lua---nnx,97,1,1,0,0,10.309,12,2368,4524,23,Lua,false,0,Lua,General-Purpose Machine Learning,5.000,0
Element-Research/rnn,934,0,0,0,0,0.000,43,2234,3171,54,Lua,false,0,Lua,General-Purpose Machine Learning,0.000,0
Element-Research/dpnn,193,0,0,0,0,0.000,217,2372,3153,20,Lua,false,0,Lua,General-Purpose Machine Learning,0.000,0
nicholas-leonard/dp,341,0,0,0,0,0.000,711,2690,3531,28,Lua,false,0,Lua,General-Purpose Machine Learning,0.000,0
torch/optim,198,0,0,0,0,0.000,57,2186,3788,56,Lua,false,0,Lua,General-Purpose Machine Learning,0.000,0
koraykv/unsup,86,0,0,0,0,0.000,99,2848,4494,10,Lua,false,0,Lua,General-Purpose Machine Learning,0.000,0
clementfarabet/manifold,138,0,0,0,0,0.000,64,2334,3727,5,Lua,false,0,Lua,General-Purpose Machine Learning,0.000,0
koraykv/torch-svm,43,0,0,0,0,0.000,100,3279,4070,2,C++,false,0,Lua,General-Purpose Machine Learning,0.000,0
clementfarabet/lbfgs,2,0,0,0,0,0.000,1627,3912,3912,1,Lua,false,0,Lua,General-Purpose Machine Learning,0.000,0
clementfarabet/vowpal_wabbit,2,0,0,0,0,0.000,1627,4215,4406,2,C++,false,0,Lua,General-Purpose Machine Learning,0.000,0
clementfarabet/lua---opengm,8,0,0,0,0,0.000,592,4283,4444,2,C++,false,0,Lua,General-Purpose Machine Learning,0.000,0
MichaelMathieu/lua---spaghetti,2,0,0,0,0,0.000,1627,3762,3815,1,Lua,false,0,Lua,General-Purpose Machine Learning,0.000,0
ocallaco/LuaSHkit,3,0,0,0,0,0.000,1627,3473,3523,2,C++,false,0,Lua,General-Purpose Machine Learning,0.000,0
rlowrance/kernel-smoothers,5,0,0,0,0,0.000,1627,4045,4138,1,Lua,false,0,Lua,General-Purpose Machine Learning,0.000,0
torch/cutorch,336,0,0,0,0,0.000,246,2263,3688,74,Cuda,false,0,Lua,General-Purpose Machine Learning,0.000,0
torch/cunn,213,0,0,0,0,0.000,69,2268,3688,72,Cuda,false,0,Lua,General-Purpose Machine Learning,0.000,0
clementfarabet/lua---imgraph,22,0,0,0,0,0.000,1062,3542,4515,6,C,false,0,Lua,General-Purpose Machine Learning,0.000,0
clementfarabet/videograph,9,0,0,0,0,0.000,1627,3794,4182,1,C,false,0,Lua,General-Purpose Machine Learning,0.000,0
marcoscoffier/torch-saliency,7,0,0,0,0,0.000,79,3632,4157,1,Lua,false,0,Lua,General-Purpose Machine Learning,0.000,0
marcoscoffier/lua---stitch,4,0,0,0,0,0.000,1627,4218,4325,1,Lua,false,0,Lua,General-Purpose Machine Learning,0.000,0
marcoscoffier/lua---sfm,3,0,0,0,0,0.000,1627,4299,4315,1,C,false,0,Lua,General-Purpose Machine Learning,0.000,0
koraykv/fex,10,0,0,0,0,0.000,842,3583,4292,3,Lua,false,0,Lua,General-Purpose Machine Learning,0.000,0
sermanet/OverFeat,597,0,0,0,0,0.000,173,3390,3590,6,C,false,0,Lua,General-Purpose Machine Learning,0.000,0
facebookresearch/wav2letter,6300,13,7,3,0,2.063,2,17,2194,36,C++,false,0,Lua,General-Purpose Machine Learning,31.000,2
fabprezja/keras-gpt-copilot,27,1,0,0,0,37.037,29,60,192,1,Python,false,0,Lua,General-Purpose Machine Learning,2.000,0
rosejn/torch-datasets,37,0,0,0,0,0.000,490,3543,4102,6,Lua,false,0,Lua,Demos and Scripts,0.000,0
fidlej/aledataset,18,0,0,0,0,0.000,1627,3485,3485,2,Lua,false,0,Lua,Demos and Scripts,0.000,0
Xtra-Computing/thundersvm,1509,7,2,0,0,4.639,7,69,3269,26,C++,false,0,Matlab,General-Purpose Machine Learning,7.000,0
josephmisiti/machine-learning-module,457,1,1,0,0,2.188,8,4592,4592,1,Objective-C,false,0,Matlab,General-Purpose Machine Learning,5.000,0
BVLC/caffe,33657,67,30,12,3,1.991,0,1379,3724,275,C++,false,0,Matlab,General-Purpose Machine Learning,40.000,0
covartech/PRT,143,0,0,0,0,0.000,87,1583,4377,9,MATLAB,false,0,Matlab,General-Purpose Machine Learning,0.000,0
PRML/PRMLT,5903,28,14,6,1,4.743,0,1359,4091,3,MATLAB,false,0,Matlab,General-Purpose Machine Learning,35.000,0
trekhleb/machine-learning-octave,809,5,0,0,0,6.180,14,1233,1861,1,MATLAB,false,0,Matlab,General-Purpose Machine Learning,4.000,0
cdslaborg/paramonte,218,4,2,1,0,18.349,5,863,1387,8,Fortran,false,0,Matlab,Data Analysis / Data Visualization,12.000,0
giacomelli/GeneticSharp,1173,9,5,1,0,7.673,5,35,3765,12,C#,false,0,.NET,General-Purpose Machine Learning,18.000,0
dotnet/machinelearning,8634,54,26,18,3,6.254,0,1,2030,2401,C#,false,0,.NET,General-Purpose Machine Learning,80.000,2
mrdimosthenis/Synapses,68,0,0,0,0,0.000,47,791,1460,3,,false,0,.NET,General-Purpose Machine Learning,0.000,0
fsprojects/Vulpes,116,0,0,0,0,0.000,441,2292,3598,5,JavaScript,true,0,.NET,General-Purpose Machine Learning,0.000,0
tech-quantum/MxNet.Sharp,143,2,1,1,1,13.986,0,225,1666,3,C#,false,0,.NET,General-Purpose Machine Learning,22.000,0
yconst/YCML,117,0,0,0,0,0.000,117,2496,3180,1,Objective-C,true,0,Objective C,,0.000,0
nikolaypavlov/MLPNeuralNet,895,0,0,0,0,0.000,122,2689,3711,7,Objective-C,false,0,Objective C,,0.000,0
gianlucabertani/MAChineLearning,38,0,0,0,0,0.000,136,1547,3147,1,Objective-C,false,0,Objective C,,0.000,0
Kalvar/ios-BPN-NeuralNetwork,33,1,1,0,0,30.303,7,2930,3817,1,Objective-C,false,0,Objective C,,5.000,0
Kalvar/ios-Multi-Perceptron-NeuralNetwork,24,0,0,0,0,0.000,1201,2345,3194,1,Objective-C,false,0,Objective C,,0.000,0
Kalvar/ios-KRHebbian-Algorithm,12,0,0,0,0,0.000,1627,2937,3817,1,Objective-C,false,0,Objective C,,0.000,0
Kalvar/ios-KRKmeans-Algorithm,23,0,0,0,0,0.000,1201,2722,3431,1,Objective-C,false,0,Objective C,,0.000,0
Kalvar/ios-KRFuzzyCMeans-Algorithm,12,0,0,0,0,0.000,414,2857,3153,1,Objective-C,false,0,Objective C,,0.000,0
rleonid/oml,117,0,0,0,0,0.000,130,2121,3177,7,OCaml,false,0,OCaml,,0.000,0
LaurentMazare/tensorflow-ocaml,282,0,0,0,0,0.000,33,1601,2804,13,OCaml,false,0,OCaml,,0.000,0
opencv/opencv,72525,738,342,189,38,10.176,0,2,4144,1533,C++,false,0,OpenCV,,100.000,30
fukuball/jieba-php,1286,4,1,1,0,3.110,1,465,3136,11,PHP,false,0,PHP,,12.000,0
denissimon/prediction-builder,110,0,0,0,0,0.000,59,1398,3090,1,PHP,false,0,PHP,,0.000,0
fulldecent/19-questions,17,0,0,0,0,0.000,54,477,2652,2,PHP,false,0,PHP,,0.000,0
scikit-image/scikit-image,5680,49,21,12,2,8.627,0,2,4521,563,Python,false,3,Python,Computer Vision,80.000,11
guofei9987/scikit-opt,4574,88,45,26,5,19.239,0,4,2179,18,Python,false,0,Python,Computer Vision,80.000,1
ukoethe/vigra,393,0,0,0,0,0.000,44,10,4523,62,C++,false,0,Python,Computer Vision,20.000,5
jesolem/PCV,1910,6,2,0,0,3.141,8,3413,4255,4,Python,false,0,Python,Computer Vision,7.000,0
ageitgey/face_recognition,50270,670,154,74,10,13.328,0,531,2455,51,Python,false,8,Python,Computer Vision,62.000,0
serengil/deepface,8258,549,207,124,42,66.481,0,1,1384,42,Python,false,14,Python,Computer Vision,100.000,3
serengil/retinaface,796,21,5,2,0,26.382,3,53,942,6,Python,false,0,Python,Computer Vision,26.000,0
natanielruiz/dockerface,188,0,0,0,0,0.000,42,1837,2361,1,Dockerfile,false,0,Python,Computer Vision,0.000,0
facebookresearch/Detectron,26013,56,30,13,2,2.153,0,35,2240,82,Python,true,5,Python,Computer Vision,16.000,0
facebookresearch/detectron2,27234,331,145,74,15,12.154,0,17,1539,242,Python,false,0,Python,Computer Vision,72.000,2
albu/albumentations,12828,142,65,24,5,11.070,0,18,1996,128,Python,false,0,Python,Computer Vision,70.000,3
madmaze/pytesseract,5183,64,27,11,3,12.348,0,5,4774,42,Python,false,0,Python,Computer Vision,70.000,2
jrosebr1/imutils,4418,19,11,6,1,4.301,0,665,3238,13,Python,false,0,Python,Computer Vision,31.000,0
donnyyou/PyTorchCV,46,1,1,1,1,21.739,0,1770,1976,3,Shell,false,0,Python,Computer Vision,20.000,0
jolibrain/joliGEN,162,12,6,3,0,74.074,1,0,1192,8,Python,false,7,Python,Computer Vision,71.000,4
ProGamerGov/neural-style-pt,805,2,2,0,0,2.484,7,475,1947,2,Python,false,0,Python,Computer Vision,7.000,0
alankbi/detecto,605,3,1,0,0,4.959,11,652,1442,11,Python,false,8,Python,Computer Vision,7.000,0
ProGamerGov/neural-dream,129,1,0,0,0,7.752,18,1190,1347,2,Python,false,0,Python,Computer Vision,2.000,0
CMU-Perceptual-Computing-Lab/openpose,28646,268,122,60,7,9.356,0,131,2404,106,C++,false,0,Python,Computer Vision,62.000,0
leoxiaobin/deep-high-resolution-net.pytorch,4144,24,12,5,1,5.792,0,344,1732,8,Cuda,false,0,Python,Computer Vision,35.000,0
tensorflow/gan,876,9,4,2,1,10.274,0,50,1669,29,Jupyter Notebook,false,0,Python,Computer Vision,28.000,0
ProGamerGov/dream-creator,60,0,0,0,0,0.000,131,475,1193,1,Python,false,0,Python,Computer Vision,0.000,0
greentfrapp/lucent,562,6,4,3,0,10.676,2,844,1293,8,Python,false,0,Python,Computer Vision,12.000,0
lightly-ai/lightly,2595,40,21,10,0,15.414,1,1,1136,34,Python,false,0,Python,Computer Vision,70.000,5
gugarosa/learnergy,60,0,0,0,0,0.000,164,40,1640,3,Python,false,8,Python,Computer Vision,6.000,0
Ret2Me/IoT-Owl,7,0,0,0,0,0.000,180,848,848,1,Python,false,0,Python,Computer Vision,0.000,0
exadel-inc/CompreFace,3435,84,39,22,7,24.454,0,9,1235,75,Java,false,0,Python,Computer Vision,72.000,3
Charmve/computer-vision-in-action,2260,37,11,6,1,16.372,0,195,938,1,Jupyter Notebook,false,0,Python,Computer Vision,35.000,0
rwightman/pytorch-image-models,27712,461,213,102,17,16.635,0,0,1755,244,Python,false,2,Python,Computer Vision,100.000,8
qubvel/segmentation_models.pytorch,8203,174,73,37,7,21.212,0,80,1728,48,Python,false,4,Python,Computer Vision,62.000,0
qubvel/segmentation_models,4488,37,18,9,4,8.244,0,482,1997,13,Python,false,3,Python,Computer Vision,35.000,0
lancopku/pkuseg-python,6338,23,9,4,1,3.629,0,533,1936,7,Python,false,1,Python,Natural Language Processing,35.000,0
clips/pattern,8585,15,9,3,2,1.747,0,1307,4587,46,Python,false,0,Python,Natural Language Processing,31.000,0
machinalis/quepy,1251,1,0,0,0,0.799,21,2005,4007,17,Python,false,0,Python,Natural Language Processing,2.000,0
machinalis/yalign,127,0,0,0,0,0.000,114,3023,3741,9,Python,false,1,Python,Natural Language Processing,0.000,0
isnowfy/snownlp,6220,34,16,8,4,5.466,0,1404,3649,8,Python,false,0,Python,Natural Language Processing,35.000,0
tasdikrahman/spammy,140,0,0,0,0,0.000,137,2321,2781,2,Python,false,3,Python,Natural Language Processing,0.000,0
fangpenlin/loso,83,0,0,0,0,0.000,129,4605,4605,1,Python,false,3,Python,Natural Language Processing,0.000,0
duanhongyi/genius,237,0,0,0,0,0.000,103,1800,3747,1,Python,false,2,Python,Natural Language Processing,0.000,0
pprett/nut,119,0,0,0,0,0.000,52,3487,4788,1,C,false,0,Python,Natural Language Processing,0.000,0
columbia-applied-data-science/rosetta,204,0,0,0,0,0.000,186,379,3672,9,Jupyter Notebook,false,0,Python,Natural Language Processing,0.000,0
proycon/pynlpl,468,0,0,0,0,0.000,50,70,4888,10,Python,false,2,Python,Natural Language Processing,0.000,0
sergioburdisso/pyss3,323,8,4,2,0,24.768,1,97,1473,6,Python,false,11,Python,Natural Language Processing,12.000,0
proycon/python-ucto,29,0,0,0,0,0.000,70,23,3473,1,Cython,false,0,Python,Natural Language Processing,10.000,1
proycon/python-frog,48,2,1,0,0,41.667,10,3,3364,3,Cython,false,0,Python,Natural Language Processing,37.000,1
EducationalTestingService/python-zpar,48,0,0,0,0,0.000,1032,947,3363,11,Python,true,0,Python,Natural Language Processing,0.000,0
proycon/colibri-core,122,0,0,0,0,0.000,186,7,3715,5,C++,false,0,Python,Natural Language Processing,20.000,1
explosion/spaCy,27615,235,101,52,6,8.510,0,1,3430,665,Python,false,35,Python,Natural Language Processing,100.000,8
dmcc/PyStanfordDependencies,68,0,0,0,0,0.000,199,1714,3267,4,Python,false,1,Python,Natural Language Processing,0.000,0
doukremt/distance,114,0,0,0,0,0.000,183,3653,3672,1,C,false,0,Python,Natural Language Processing,0.000,0
seatgeek/fuzzywuzzy,9015,28,15,4,1,3.106,0,805,4521,264,Python,false,0,Python,Natural Language Processing,35.000,0
x-tabdeveloping/neofuzz,8,3,2,1,0,375.000,6,147,246,2,Python,false,3,Python,Natural Language Processing,12.000,0
jamesturk/jellyfish,1925,19,10,3,0,9.870,5,6,4885,25,Jupyter Notebook,false,0,Python,Natural Language Processing,51.000,2
chartbeat-labs/textacy,2119,9,6,2,0,4.247,4,234,2850,35,Python,false,0,Python,Natural Language Processing,17.000,0
dasmith/stanford-corenlp-python,612,0,0,0,0,0.000,47,3328,4653,3,Python,false,0,Python,Natural Language Processing,0.000,0
cltk/cltk,810,7,4,2,1,8.642,0,19,3602,104,Python,false,15,Python,Natural Language Processing,32.000,2
RasaHQ/rasa,17246,140,60,26,4,8.118,0,31,2596,498,Python,false,88,Python,Natural Language Processing,66.000,0
PPACI/yase,13,0,0,0,0,0.000,186,2383,2416,1,Python,true,2,Python,Natural Language Processing,0.000,0
aboSamoor/polyglot,2216,15,7,3,1,6.769,0,1156,3433,24,Python,false,7,Python,Natural Language Processing,31.000,0
facebookresearch/DrQA,4418,7,3,3,0,1.584,3,919,2329,56,Python,false,1,Python,Natural Language Processing,12.000,0
dedupeio/dedupe,3868,27,17,10,3,6.980,0,279,4234,51,Python,false,1,Python,Natural Language Processing,35.000,0
snipsco/snips-nlu,3839,14,6,2,0,3.647,2,934,2479,14,Python,false,0,Python,Natural Language Processing,21.000,0
Franck-Dernoncourt/NeuroNER,1676,3,0,0,0,1.790,16,1512,2452,6,Python,false,8,Python,Natural Language Processing,4.000,0
bigartm/bigartm,657,3,2,1,1,4.566,0,1108,3356,37,C++,false,0,Python,Natural Language Processing,22.000,0
gugarosa/nalp,23,0,0,0,0,0.000,186,40,1926,1,Python,false,9,Python,Natural Language Processing,6.000,0
xhlulu/dl-translate,368,7,4,4,1,19.022,0,128,1004,2,Python,false,0,Python,Natural Language Processing,22.000,0
deepset-ai/haystack,11670,418,172,95,11,35.818,0,0,1470,231,Python,false,0,Python,Natural Language Processing,100.000,30
comet-ml/comet-llm,287,14,3,2,0,48.780,1,2,197,10,Python,false,0,Python,Natural Language Processing,56.000,3
Microsoft/CNTK,17415,15,8,3,1,0.861,0,426,2919,231,C++,false,0,Python,General-Purpose Machine Learning,31.000,0
couler-proj/couler,855,10,4,3,1,11.696,0,22,1192,32,Python,false,4,Python,General-Purpose Machine Learning,32.000,1
ClimbsRocks/auto_ml,1630,6,4,3,0,3.681,2,2069,2663,12,Python,false,11,Python,General-Purpose Machine Learning,12.000,0
wannesm/dtaidistance,963,13,7,3,1,13.499,0,15,2485,16,Python,false,1,Python,General-Purpose Machine Learning,41.000,1
arogozhnikov/einops,7415,98,52,26,4,13.216,0,42,1888,21,Python,false,0,Python,General-Purpose Machine Learning,66.000,0
jeff1evesque/machine-learning,258,2,1,0,0,7.752,11,1009,3389,4,JavaScript,false,0,Python,General-Purpose Machine Learning,7.000,0
dmlc/xgboost,25015,150,72,33,2,5.996,0,1,3577,608,C++,false,0,Python,General-Purpose Machine Learning,100.000,8
serengil/chefboost,420,5,3,1,0,11.905,1,23,1723,3,Python,false,4,Python,General-Purpose Machine Learning,22.000,1
CamDavidsonPilon/Probabilistic-Programming-and-Bayesian-Methods-for-Hackers,25995,80,33,14,5,3.078,0,282,3965,140,Jupyter Notebook,false,0,Python,General-Purpose Machine Learning,50.000,0
Hydrospheredata/mist,326,1,0,0,0,3.067,19,1508,2869,24,Scala,false,0,Python,General-Purpose Machine Learning,2.000,0
metric-learn/metric-learn,1349,2,1,1,0,1.483,2,55,3673,37,Python,false,0,Python,General-Purpose Machine Learning,18.000,0
OML-Team/open-metric-learning,585,8,2,1,0,13.675,5,25,537,17,Jupyter Notebook,false,0,Python,General-Purpose Machine Learning,22.000,2
intel/scikit-learn-intelex,1076,21,8,4,1,19.517,0,0,1934,90,Python,false,0,Python,General-Purpose Machine Learning,85.000,6
clips/pattern,8585,15,9,3,2,1.747,0,1307,4587,46,Python,false,0,Python,General-Purpose Machine Learning,31.000,0
